Document,Class
creo si visto redes sociales video marca f gente deportista cualquier tipo deporte hace pensar hacer ejercicio siempre sido alguien hecho ejercicio asi profesional entonces dejo hacer ejercicio ver tipo cosas pueden recordar olvidando metas,inspirado_por
aparte hacer ejercicio constante gustado participar profesionalmente alguno dio idea tal vez querer ser persona ahi haciendo ejercicio,inspirado_por
si ver acuerdo campaa hicieron acerca mujer giraba torno mujer empoderamiento mujer lado identifique hecho cada vez dan importancia mujer mujer puede hacer cosas increibles igual hombre etcetera,inspirado_por
campaa si mujer completamente libre puede hacer quiera guste cualquier persona,inspirado_por
genero comercial visto quizas alguna u manera incorporarlo hago dia dia reconocer justamente journey proceso sentir va volviendo cada vez mejor veces evidente ejemplo ansiosa estresada digo ala sale preocupo resultados calmo doy cuenta aprendizaje trayectoria,inspirado_por
creo impactado reconocer detras exito persona viene proceso accion concreta logre reconocimiento trayectoria persona,inspirado_por
entonces acuerdo practicaba ballet forma intensiva veia spot siempre ballet veces estricto dicen si estandar continuum estandar dice pucha si sido rusa si sido china si empezado hace aos hecho acuerdo spot vi tercero secundaria ahorita todavia cala grandeza solo cierto grupo persona,inspirado_por
va mano ver video inspiracionales youtube redes justo salian video motivacionales inspiracion atletas justamente llevaban marca nike animado anime corriendo maraton kilometros anime bajar peso basicamente ayuda gracias video constancia asi pude bajar final kilo ao ayudado bastante inspirado justamente marca deportiva ser alguien mejor,inspirado_por
podria decir tema ensearle cambio demas decirles si puedo puedes tema querer ensearle demas tipo vida sedentaria adecuada,inspirado_por
hecho levantarte temprano comer comida chatarra final motivacion inclina tema hacer deporte puede ir actividades hecho realizar tarea trabajo universidad sientes bajoneado final dice si puedo hacer aca habilidad recursos capacidades poder realizar actividad ver deporte motiva demasiado,inspirado_por
veo comerciales asi realmente hacen acordar bonito deporte alla bueno salud hacen acordar siento despues hacer deporte siento realmente invencible puedo hacer,inspirado_por
si toda maneras hace acordar poder mujeres realmente hacer quisieramos podemos importar opinion creo mensaje grande llevo dia dia puede ser olvide viendo campaas hace acordar importante,inspirado_por
entonces siempre onda querer comprar ultimos chimpunes botines jugadores veia jugadores favoritos referentes veia usaban tipo marcas entonces inspiraba algun momento podium llegar ser si utilizaba,inspirado_por
jugadores basquet tiempo practique basquetbol queria zapatillas kobe bryant inspiraba admiraba inspiraba podium joven nio remotamente ser cercano,inspirado_por
sabia regalaban zapatillas jugadores auspiciaban vestian tiempo etcetera detras involuntariamente generaba oye patas utilizan solo nike ma queria ser parte linea ser futbolista queria alguien auspicie incluso,inspirado_por
personalmente marca termina siendo medio cierto fin gusta entonces personalmente practico fronton chico ejemplo veia bastante tenis seguia bastante tenis veia marcas asociaba deportistas pues marca si hago bien deporte visto acorde dominan deporte quiero parecerme quiero ser entonces marca influye,inspirado_por
siento dia dia siento veo alguna propaganda veo tienda veo zapatos decirte ejemplo motivacion siento dedico ahorita ejemplo etapa universitaria lograr sueos entonces siento tipo motivacion da momento,inspirado_por
si motivo querer hacer deporte hacer ejercicio movimiento salir montar bicicleta motivo ser activa activa,inspirado_para
podria ser intrinsicamente hizo realizar deporte menos momento vi campaa restricciones liberaron busque opciones hacer deporte casa desconectarme laptop encerrada ello,inspirado_para
entonces parte inspira tal vez entrenar fuerte esforzarse ma,inspirado_para
bueno cuanto deporte pensaria persona pueden lograr hacer viene mente ejemplo si jugando basquet algun deportista importante pueda hacer cuanto deporte inspira esforzarme intentarlo,inspirado_para
entonces vuelve decir bueno probable si utilizo pueda correr mejor entonces inspira esforzarte ma pienso factor importante,inspirado_para
pienso medio sesga presente persona logrado tal cosa instintivamente sientes impulso esforzarte ma entonces pensaria involuntariamente,inspirado_para
bueno ahorita gusta practicar futbol compraba unas zapatillas trataba deportista solia usarlas,inspirado_para
si diria si tan solo verlo piensas alguien admiras diga mira automaticamente da ganas comprar parecido,inspirado_para
ma alla aprendizaje verdad creo inspiro alla querer seguir haciendo deporte buscar parecido,inspirado_para
si definitivamente verdad magia comerciales recuerdo bastante cario parecian peliculas buen presupuesto largo usualmente salta comerciales daba ganas verlos proposito inspiraba seguir practicando deporte,inspirado_para
viendolo manera querer realizar deporte,inspirado_para
compras coleccion da ganas menos consultar precios u modelos creo genus mayor interes marca si,inspirado_para
entrenar correr caso nike llama nike run club nike train club gusta inspira seguir haciendolo,inspirado_para
ropa nike empezado sacar cosas novedosas visto varias influencers top brillosos varios colores colores super llamativos gusta parece bonito da ganas comprarlo hacer deporte,inspirado_para
ropa nike empezado sacar cosas novedosas visto varias influencers top brillosos varios colores colores super llamativos gusta parece bonito da ganas comprarlo hacer deporte,inspirado_para
aparte siempre nuevos modelos ven bien bonito dan ganas comprarlos entrenar,inspirado_para
hecho creo estilo vida hacia deporte vez quinientas compraba mucha ropa deporte entrenaba tenia luego empece hacer ejercicio gustaba comprarme ropa solo hacer deporte sino guste queda bonita,inspirado_para
salia dia si dia salia tarde llegando notificacion hacia levantarme salir correr adicional creo hecho hacer cosas dia veces flojera lleva aos siendo asi recien pandemia parte pandemia empece asi despues deje ahora tiempo,inspirado_para
estilo vida ahora creo haciendo puedo organizar pandemia llevo organizar tiempos agendado entonces si ayudo agendarlo,inspirado_para
si salir correr odiaba correr gimnasio podium maximo salir caminar ahora salgo correr ejemplo hecho demoraba entrenando ahora sigo rutinas ale chavez puedo demorar solo medium hora creo bien si igual salgo correr maana medio hora hago ejercicio medium hora bien demorarme horas haciendo ejercicio ayuda balancear dia hecho da energia hacer obviamente cansa sientes energico,inspirado_para
mismo correr asi noma saber cuanto corres cuanto haces entonces aplicacion ayuda saber cuantos kilometros haces tiempo haces cada kilometro alguna manera da ganas correr rapido algun momento dice dado tantas vueltas seguidas,inspirado_para
si querer comprar si sino ejemplo ropa uso salido recien recien sale ejemplo top puede costar sol parece caro conforme van pasando normal cueste aprox sol ahi practicante tampoco gastaria sol solo top parece caro parecen super lindos si gustaria comprarlos si,inspirado_para
varias zapatillas nike creo marca uso deporte siento puedo correr bien zapatillas entonces veces cansada alguna forma sientes corriendo ayuda seguir,inspirado_para
verdad veo hace sentir motivada necesariamente misma semana comienzo hacer ejercicio,inspirado_para
entonces cada vez mama dicho quieres zapatillas veo frente nike puedo encontrar outlet,inspirado_para
mayoria deportes obviamente inicio da chispa quiero hacer deporte luego termino haciendolo,inspirado_para
chevere ver trascienda hace comercial nike deja horas horas viendo mismo video,inspirado_para
chevere ver trascienda hace comercial nike deja horas horas viendo mismo video da ganas compartirlo cosas asi,inspirado_para
inspira comerciales seguir proceso saber serena williams interior ahi simplemente seguir practicando resultados lindos celebrar bonito reconocer victoria dia dia,inspirado_para
seguro si comercial grabado madrugada dia viendo comercial corredor ejemplo inspiracion simple corria maanas u maana entrar trabajar ahora trato correr hora azul hora pico solo minutos transicion medio radical raiz hacer atipico,inspirado_para
creo inspiracion creo transmitio comercial alguna manera acerco marca creo dio solidez top of mind preferencia digamosle preferencia,inspirado_para
si quiero ma si relacion afecto digamos quiero nike adidas,inspirado_para
comprar nike reconozco toda campaas hace atletas poder realizar diferentes campaas realmente da ganas comprar inspira totalmente,inspirado_para
va mano ver video inspiracionales youtube redes justo salian video motivacionales inspiracion atletas justamente llevaban marca nike animado anime corriendo maraton kilometros anime bajar peso basicamente ayuda gracias video constancia asi pude bajar final kilo ao ayudado bastante inspirado justamente marca deportiva ser alguien mejor,inspirado_para
ahora tema cuanto demorado inspirarme motivarme sido largo asi nike marcas dan tema inspirar justamente primero vi nike cumplio proposito hecho cambiar estilo vida claramente quiero regresar tendencia vida sedentaria quiero seguir motivandome seguir siendo saludable,inspirado_para
si comprar pocos polo deportivos justamente antiguos antiguos tema subir peso quedaban final hecho relacionarme marca ayudado hecho comprar diferentes indumentarias short zapatillas polo ademas veo closet veo logo veo ropa deportiva digo pucha hacer deporte quiero ir estilo vida si motivaba comprar,inspirado_para
ver campaas dia mujer nike olimpiadas eventos deportivos realidad visto campaas siempre lloro veo siempre termino llorando parece mensaje bonito motivan siempre dar mejor seguir adelante,inspirado_para
ver campaas dia mujer nike olimpiadas eventos deportivos realidad visto campaas siempre lloro veo siempre termino llorando parece mensaje bonito motivan siempre dar mejor seguir adelante verdad veo campaas dan ganas ponerme ropa deporte salir correr,inspirado_para
ultimo vi nike voz serena williams salia collage monton mujeres diferentes rubros termine ver comercial llore realmente puse ropa deporte sali correr broma hizo sentir motivada realmente hizo sentir podium hacer,inspirado_para
ultimo vi nike voz selena williams salia collage monton mujeres diferentes rubros termine ver comercial llore realmente puse ropa deporte sali correr broma hizo sentir motivada realmente hizo sentir podium hacer hecho apenas termine envie amigas dije mirenlo demasiado chevere,inspirado_para
creo mensaje muestran voy decir ropa uso inspiro mensaje transmitiendo hacerme sentir realmente podium hacerlo obviamente trave imagenes f atletas usando nike creo inconscientemente ligas mensaje marca proxima vez compro ropa fijo nike,inspirado_para
bueno si muchas veces visto veo comerciales asi hace ir pagina web marca ver ropa ver si nuevo si lleva chequear pagina web hace chequear instagram ver atletas marca,inspirado_para
veo campaas asi encanta luego entrar perfiles marca ver atletas compartido trato meterme ver atletas detras pantalla bueno si entro pagina web chequear ropa llevan hacer deporte comparto amigas si genus tema conversacion menos si mencionan,inspirado_para
bueno si entro pagina web chequear ropa si llevan hacer deporte comparto amigas si genus tema conversacion menos si mencionan,inspirado_para
veo ah bueno fan bts grupo koreano si conoces veces hacen diseos marcas colaboracion usando ropa nike entonces inspira marca puede involucrarme deporte llamo atencion ahora puede hacer tenis dificil adelante gustaria probarlo,inspirado_para
bueno despues revise pagina web tienda virtual,inspirado_para
bueno despues revise pagina web tienda virtual ahi veces muestran fotos persona usan productos si despues momento dije si pueda ser pueda involucrarme nuevo deporte,inspirado_para
paginas pensaba encontrarme clasicos modelos cuerpo atleticos di cuenta realidad persona distintos tipos cuerpo parecio chevere realidad motivo comprar productos muestra persona cuerpo estereotipico entonces puedes decir bueno puedo usar prendas entonces asi decidi comprar,inspirado_para
creo promover estilo vida saludable cualquier persona independientemente contextura,inspirado_para
tal vez comerciales escenarios persona levantan temprano hacer ejercicio motiva incorporar vida diaria parece chevere distintos tipos cuerpos,inspirado_para
diria veo comerciales normalmente tirada sillon entonces pienso deberia haciendo productivo veces veo haciendo sale alguna aplicacion persona cocinando haciendo ejercicio motiva usar tiempo eficientemente sentirme mal sientes mal echada f gente haciendo va ayudar entonces ayuda realidad,inspirado_para
sucede pandemia quitaron ganas ir gimnasio actividad siempre hacia costaba bastan ir punto tratar entrenar casa veia publicidad nike nike woman mujeres salian entrenando mat casa pesitas digamos alguna manera inspiro querer hacer deporte,inspirado_para
digamos publicidad nike gustaba veia mujeres atleticas decia pucha acuerdate cargabas pesa hacias entonces motivacion deporte,inspirado_para
bueno inicio control simplemente haciendo scroll vi publicidad dije ah mira mostro lejos pensar nike ver grupo mujeres haciendo actividad dije pucha puedo hacer casa bien mira buena motivacion empezar,inspirado_para
creo misma manera creo decimos vez voy hacer deporte f incitacion hacer accion buena entonces creo haberlo visto toda maneras inspiro mil accion ahi mente tomada,inspirado_para
segundo lugar oye mira ropa bonita commerce mil compra compra usala dale uso ropa comprando,inspirado_para
alguna manera si siento push parate cama hazlo si toda maneras creo,inspirado_para
si compra risas caso nike adidas vi clip nike solo clip nike vi adidas toque busque nike adidas solamente ah voy pensar nike chevere adidas pagina propia puedes ver toda ropa ahi,inspirado_para
entonces siempre onda querer comprar ultimos chimpunes botines jugadores veia jugadores favoritos referentes veia usaban tipo marcas,inspirado_para
jugadores basquet tiempo practique basquetbol queria zapatillas kobe bryant inspiraba admiraba inspiraba podium joven nio remotamente ser cercano entonces decia pucha quiero mismos zapatos utilizan etcetera,inspirado_para
si quizas hacer negocio zapatillas hecho ahora ejemplo ahorita unidos amigo quieren modelos unicos solo venden aca venden peru entonces digo oye consigo pagas dolares llevartelos nunca va conseguir peru entonces veo idea negocio modelos venden alla llevan importan tipo modelos probablemente puede ser idea saltado publicidad bueno venden solas zapatillas nike necesario use tanta publicidad,inspirado_para
entrenamientos ahora seleccion futsal universidad mejores zapatillas ultima zapatillas jugador probablemente mayores cualidades sabe zapatillas sabe futbol sabe comprar ultimo jugadores motiva ejemplo abrias zapatillas estrenaba polo nike short nike pucha esforzaba entrenar sentia ropa nueva motivaba bastante ahora usa unas zapatillas nike inspira motiva,inspirado_para
motivaria quizas hacer deporte mismo realidad motiva hacer deporte hace sentir comodo,inspirado_para
pues asi intervenir ayudar alguna manera fomente deporte directamente pues realidad hice personal ambito personal tal vez acompaarme corran conmigo salir toda medidas seguridad hacer ciclismo muchas persona viniendo haciendo basicamente domingo actividades asi motivacion surgio retransmiti cercanos,inspirado_para
veia cosas dije pucha casa hago entonces si empezado practicar tenis despues aos practicaba deporte si motivo hacer deporte,inspirado_para
veces bailo cuarto desmotivada quiero si si cuarto da verguenza decirlo cualquier cancion cualquier musica mantenga activa temas ejercicios puedo hacer tema rodilla pueda hacer sentadillas etc si puedo mantenerme activa alguna forma hago,inspirado_para
momento da cuenta solito entras cancha deporte mentalmente dice hacerlo veces rindes igual motivado si veces f spot dice si motivado maana maana mismo salgo entrenar maana mismo quiero hacer deporte quiero hacer motiva cosa dure motivacion,inspirado_para
generalmente acciones pueden haber llevado hacer practicar deporte comprarme ropa ver ma seguir ma conocer marca tenerla presente comprarme ropas ver deportista sale spot,inspirado_para
generalmente acciones pueden haber llevado hacer practicar deporte comprarme ropa ver ma seguir ma conocer marca tenerla presente comprarme ropas ver deportista sale spot,inspirado_para
si verdad nike nike logo concepto traen just do it varios video visto puesto piel gallina dado ganas entrenar si inspirado verdad,inspirado_para
verdad recuerdo vi video tomando curso llama rethinking marketing caso persona discapacidad entonces hizo reflexionar existe mundo incluidos mercado normalmente vende f letreros enormes persona normales incluyendo persona discapacidad hizo reflexionar darme cuenta pocas marcas traen anuncios persona discapacidad entonces cierta forma inspiro pensar toque hacer algun trabajo incluirlos,inspirado_para
tiempo vi video haciendo deporte invierno acorde trajo momento sensaciones causaba deporte hacia adrenalina genus serotonina produce sudor buena musica elementos video entonces dieron muchas ganas volver entrenar,inspirado_para
presente hacer trabajo universidad marketing trato incluirlo persona discapacidad si claramente presente gracias ido alimentando nike,inspirado_para
nike si marca ropa deportiva favorita gustan campaas asi diria si inspiracion nivel voy crear increible animos levantarte actuar tipo inspiracion,inspirado_para
siento inspiran emociones ganas hacer cosas si crear hacer creo ahi sigo dijiste inicio inspira hacer cosas creo tipo marcas inspiran moverte hacer,inspirado_para
creo sencillo hacer ejercicio hacer salud creo mensaje principal marca lado nike just do it hazlo siento mensaje llega hazlo estudiar hazlo aos creo tipo motivacion,inspirado_para
aparte hacer ejercicio constante gustado participar profesionalmente alguno dio idea,inspirado_para
